First Name,Last Name,Race,Age,Appearance,Personality 1,Personality 2
Mable,Hilltop,Half-Orc,Young,"Tall, Thin, Attractive",Cautious,Cautious
Erik,Deepwater,Human,Middle Aged,Towering Tall,Grumpy,Terrible Negotiator
Samuel,Stillwind,Elf,Middle Aged,"Grey hair, scar on lip",Jovial,Jovial
Rolen,The Cleaver,Half-Elf,Middle Aged,Portly,Friendly,Friendly
Francis,Val'haren,Gnome,Old,Short,Tired,Tired
Jen,Grimtotem,Halfling,Very Old,Beautiful,Annoyed,Sucker for a Pretty Face
Thari,Dewbeam,Dragonborn,Young,Braided Beard Or Hair,Ponderous,Bite His Fingernails
Sanzagh,Axegrip,Tiefling,Middle Aged,Missing Teeth,Honest,Speak in Rhyme
Ukhlad,Redgem,Drow,Young,Tattoos,Arrogant,High Voice
Gwali,Elfbane,Half-Orc,Middle Aged,Birthmark,Argumentative,Hums
Zaghak,Mourningstrength,Human,Middle Aged,Unusual Skin Color,Curious,Boistrous
Duri,Runeshield,Elf,Middle Aged,Piercings,Friendly,Chews on Things
Urin,Marblefall,Half-Elf,Old,Unusual Hair Color,Friendly,Squint
Bori,Dragonfallow,Gnome,Very Old,Ragged Clothes,Friendly,
Bifar,Wyvernpunch,Halfling,Young,Distinctive Nose,Friendly,Uses Wrong Words
Akal,Winterarm,Half-Orc,Middle Aged,Eye Twitch,Quiet,Tap Fingers
Thali,Slatekeep,Human,Young,Jewelry (choker),Blustering,Use Long Words
Throri,Mistglade,Elf,Middle Aged,Missing Fingers,Rude,Fidget
Dinain,Meadowslayer,Half-Elf,Middle Aged,Ugly,Kind,Wants to be liked
Bari,Alpenward,Gnome,Middle Aged,Beautiful,Wise,learning to read
Kunain,Crestscar,Halfling,Old,Formal Clothes,Intelligent,CAN'T speak to women
Arvin,Richseeker,Half-Orc,Very Old,Scar,Kind,Crazy
Frinan,Morningsinger,Human,Young,Weird Posture,Wise,Speaks in 3rd Person
Frasanz,Fernshaper,Elf,Middle Aged,Weird Eye Color,Intelligent,Optimistic
Gimli,Riverclaw,Half-Elf,Child,Ashen Hair,Curious,Always Jokes
Shakar,Proudpike,Gnome,Ancient,Long dark hair,Friendly,
Thori,Glorysoar,Halfling,,"Pale skin, red hair",Friendly,
Bali,Embertalon,Half-Orc,,Long braids,Friendly,
Frukar,Moltenoak,Human,,Very muscular,Friendly,
Nainarv,Hardshot,Elf,,,Ponderous,
Dinarv,Skullscar,Half-Elf,,,Honest,
Undim,Richheart,Gnome,,,Shrewd,
Gluri,Dustshot,Halfling,,,gloomy,
Dainan,Proudfeather,Dragonborn,,,Helpful,
Kada,Clawhell,Tiefling,,,Delightful,
Bifar,Marshcaller,Drow,,,,
Beornmund,Tallbane,Half-Orc,,,,
Deda,Flatgrip,Human,,,,
Giles,Stilloak,Elf,,,,
Godmenr,Flintwhirl,Half-Elf,,,,
Bertio,Shadowspell,Gnome,,,,
Wisym,Seawhirl,Halfling,,,,
Ethes,Snakesoar,Half-Orc,,,,
Helmund,Tallcrag,Human,,,,
Amel,Grandtoe,Elf,,,,
Ceolwy,Titansword,Half-Elf,,,,
Here,Seatail,Gnome,,,,
Ered,Mistrock,Halfling,,,,
Erehrt,Wheatchewer,Half-Orc,,,,
Enryn,Twilightwood,Human,,,,
Alfwod,Spiderwhisk,Elf,,,,
Gauward,Fisthell,Half-Elf,,,,
Wulfa,Clearreaver,Gnome,,,,
Ethehrt,Bouldersun,Halfling,,,,
Arled,Forehand,Half-Orc,,,,
Genwy,Barleyglory,Human,,,,
Ealdred,Nobleflower,Elf,,,,
Ealuuald,Clanguard,Half-Elf,,,,
Wilhye,Lunasnarl,Gnome,,,,
Oerwurg,Serpentblossom,Halfling,,,,
Rewalt,Grizzlycut,Dragonborn,,,,
Wynhunb,Hawkcloud,Tiefling,,,,
Andres,Mildarm,Drow,,,,
Drewy,Steeltalon,Half-Orc,,,,
Drobert,Slatestriker,Human,,,,
Swulfa,Sunrunner,Elf,,,,
Elyn,Craghunter,Half-Elf,,,,
Hiltroua,Summercut,Gnome,,,,
Philia Gare,Dustshout,Halfling,,,,
Brictiue,Titanmoon,Half-Orc,,,,
Ennet None,Mountainwound,Human,,,,
Ryelly,Twosky,Elf,,,,
Aben,Threeflare,Half-Elf,,,,
Marget,Rumblestride,Gnome,,,,
Cily,Shadowbranch,Halfling,,,,
Eolwynn,Stoneflaw,Half-Orc,,,,
Burguia,Stagbrace,Human,,,,
Kathil Arard,Grandstrider,Elf,,,,
Conga,Mossglade,Half-Elf,,,,
Gytha,Snowspear,Gnome,,,,
Cecie,Winterbrace,Halfling,,,,
Hilda,Hardsword,Half-Orc,,,,
Hena,Strongwound,Human,,,,
Ehith,Dirgereaper,Elf,,,,
Wynna,Twilightmantle,Half-Elf,,,,
Burhe,Pyreblade,Gnome,,,,
Kater,Dragonrunner,Halfling,,,,
Benne,Simpletrap,Dragonborn,,,,
Eryn,Mountainpelt,Tiefling,,,,
Hely,Dewbender,Drow,,,,
Cecie,Pridehammer,Half-Orc,,,,
Githa,Simpleflare,Human,,,,
Ethell,Windsplitter,Elf,,,,
Odwyth,Lonespark,Half-Elf,,,,
Cece,Mirthshard,Gnome,,,,
Ellel,Eaglemore,Halfling,,,,
Telchal,,Half-Orc,,,,
Zigam,,Human,,,,
Bali,,Elf,,,,
Kadu,,Half-Elf,,,,
Thali,,Gnome,,,,
Alim,,Halfling,,,,
Zigiml,,Half-Orc,,,,
Gimli,,Human,,,,
Kada,,Elf,,,,
Glinarv,,Half-Elf,,,,
Enelron,,Gnome,,,,
Irdathin,,Halfling,,,,
Tanerdhir,,,,,,
Magladuil,,,,,,
Elegor,,,,,,
Celegorm,,,,,,
Celegon,,,,,,
Maeglemmin,,,,,,
Saerodor,,,,,,
Emmin,,,,,,
Arfil,,,,,,
Cirdire,,,,,,
Finore,,,,,,
Galadir,,,,,,
Elelror,,,,,,
Elenel,,,,,,
Danore,,,,,,
Saerophil,,,,,,
Makili,,,,,,
Thonaeli,,,,,,
Finduilye,,,,,,
Ariel,,,,,,
Atielel,,,,,,
Nimrilye,,,,,,
Gilminye,,,,,,
Nimredhel,,,,,,
Celenwe,,,,,,
Aloth,,,,,,
Ilmiris,,,,,,
Ilmiriel,,,,,,
Lotatie,,,,,,
Nimrilye,,,,,,
Anindis,,,,,,
Elellas,,,,,,
Erwen,,,,,,
Nimrime,,,,,,
Ilmis,,,,,,
Ithren,,,,,,
Eldas,,,,,,
Eleris,,,,,,